Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,140.4,3623,Unit 9,ARD GZ 4,Guano,0.733604021,0.199120963,0.499562384,0.511766835,0.3978448,0.733604021,0.199120963,0.499562384,0.511766835,0.3978448,0.780749973,0.481058828,0.516676214,0.276718549,0.194220092,4
ARD,143.5,3657,Unit 9,ARD GZ 4,Guano,0.949337822,0.367755709,0.627295849,0.583382442,0.678210265,0.949337822,0.367755709,0.627295849,0.583382442,0.678210265,-0.620711074,0.454136348,0.433553308,0.482731105,0.12010854,4
ARD,146.7,3696,Unit 9,ARD GZ 4,Guano,0.510888955,0.138965098,0.155774684,0.171591575,0.320594647,0.510888955,0.138965098,0.155774684,0.171591575,0.320594647,0.384652521,0.414435504,-0.003740075,3.98E-05,-0.054258177,4
ARD,149.8,3736,Unit 9,ARD GZ 4,Guano,0.421344114,0.11135355,0.075741021,0.078976802,0.230818153,0.421344114,0.11135355,0.075741021,0.078976802,0.230818153,0.895527016,0.326721203,-0.167826004,-0.293441685,-0.288922103,4
ARD,151,3751,Unit 9,ARD GZ 4,Guano,0.15907232,0.021811114,-0.061007938,-0.156470183,0.064723111,0.15907232,0.021811114,-0.061007938,-0.156470183,0.064723111,-1.040383944,0.074608697,-0.466801349,-0.552084931,-0.240260423,4
ARD,153,3777,Unit 9,ARD GZ 4,Guano,0.517029494,0.146579329,0.162707829,0.182348816,0.332670279,0.517029494,0.146579329,0.162707829,0.182348816,0.332670279,0.318378749,-0.182086499,-1.054120287,-0.883493357,-0.720984923,4
ARD,155,3802,Unit 9,ARD GZ 4,Guano,-0.758245587,-0.202819897,-0.803890439,-0.768326608,-0.361635013,-0.758245587,-0.202819897,-0.803890439,-0.768326608,-0.361635013,-0.665839271,-0.269889216,-1.246068514,-1.347946238,-0.87732636,4
ARD,157,3833,Unit 9,ARD GZ 4,Guano,-1.319266585,-0.318264737,-1.126879654,-1.017868291,-0.556426181,-1.319266585,-0.318264737,-1.126879654,-1.017868291,-0.556426181,-0.839622319,-0.428938347,-1.609924127,-1.535355089,-0.921694018,4
ARD,159,3864,Unit 8,ARD GZ 0,Non Guano,-1.819365009,-0.368439149,-1.255747067,-1.182428621,-0.640079873,-1.819365009,-0.368439149,-1.255747067,-1.182428621,-0.640079873,-1.242155061,-0.347070189,-2.005253956,-1.732011502,-1.136887193,2
ARD,161,3898,Unit 8,ARD GZ 0,Non Guano,-2.08835521,-0.292707403,-1.420764896,-1.225294642,-0.612256133,-2.08835521,-0.292707403,-1.420764896,-1.225294642,-0.612256133,-0.161191478,-0.349927581,-2.365548414,-1.775001206,-1.265846193,2
