"Core","depth_cm","SH20_age","param","value"
"ARD1A",12.2,1159.89,"MSE",1.13
"ARD1A",12.2,1159.89,"Mg",0
"ARD1A",12.2,1159.89,"Al",0
"ARD1A",12.2,1159.89,"Si",10
"ARD1A",12.2,1159.89,"P",0
"ARD1A",12.2,1159.89,"S",15
"ARD1A",12.2,1159.89,"Cl",0
"ARD1A",12.2,1159.89,"Ar",28
"ARD1A",12.2,1159.89,"K",78
"ARD1A",12.2,1159.89,"Ca",1384
"ARD1A",12.2,1159.89,"Sc",5
"ARD1A",12.2,1159.89,"Ti",727
"ARD1A",12.2,1159.89,"V",52
"ARD1A",12.2,1159.89,"Cr",0
"ARD1A",12.2,1159.89,"Mn",333
"ARD1A",12.2,1159.89,"Fe",23082
"ARD1A",12.2,1159.89,"Co",132
"ARD1A",12.2,1159.89,"Ni",0
"ARD1A",12.2,1159.89,"Cu",77
"ARD1A",12.2,1159.89,"Zn",193
"ARD1A",12.2,1159.89,"Ga",74
"ARD1A",12.2,1159.89,"Ge",57
"ARD1A",12.2,1159.89,"As",206
"ARD1A",12.2,1159.89,"Se",66
"ARD1A",12.2,1159.89,"Br",18
"ARD1A",12.2,1159.89,"Rb",62
"ARD1A",12.2,1159.89,"Sr",1140
"ARD1A",12.2,1159.89,"Zr",634
"ARD1A",12.2,1159.89,"Nb",0
"ARD1A",12.2,1159.89,"Mo",0
"ARD1A",12.2,1159.89,"In",0
"ARD1A",12.2,1159.89,"Sn",6
"ARD1A",12.2,1159.89,"Sb",5
"ARD1A",12.2,1159.89,"Te",24
"ARD1A",12.2,1159.89,"I",0
"ARD1A",12.2,1159.89,"Cs",0
"ARD1A",12.2,1159.89,"Ba",0
"ARD1A",12.2,1159.89,"La",0
"ARD1A",12.2,1159.89,"Ce",6
"ARD1A",12.2,1159.89,"Pr",4
"ARD1A",12.2,1159.89,"Nd",19
"ARD1A",12.2,1159.89,"Sm",17
"ARD1A",12.2,1159.89,"Eu",0
"ARD1A",12.2,1159.89,"Gd",40
"ARD1A",12.2,1159.89,"Tb",184
"ARD1A",12.2,1159.89,"Dy",37
"ARD1A",12.2,1159.89,"Ho",37
"ARD1A",12.2,1159.89,"Ta",25
"ARD1A",12.2,1159.89,"W",58
"ARD1A",12.2,1159.89,"Os",45
"ARD1A",12.2,1159.89,"Ir",23
"ARD1A",12.2,1159.89,"Pt",33
"ARD1A",12.2,1159.89,"Au",9
"ARD1A",12.2,1159.89,"Hg",23
"ARD1A",12.2,1159.89,"Pb",0
"ARD1A",12.2,1159.89,"Bi",50
"ARD1A",12.2,1159.89,"Th",0
"ARD1A",12.2,1159.89,"U",0
"ARD1A",12.2,1159.89,"Mo_inc",11708
"ARD1A",12.2,1159.89,"Mo_coh",3563
"ARD1A",12.2,1159.89,"TS_sum",15271
"ARD1A",12.2,1159.89,"inc_coh",3.285994948
"ARD1A",12.2,1159.89,"coh_inc",0.304321831
"ARD1A",12.2,1159.89,"cps_sum",44289
"ARD1A",12.4,1192.26,"kcps",12618.46582
"ARD1A",12.4,1192.26,"MSE",1.21
"ARD1A",12.4,1192.26,"Mg",0
"ARD1A",12.4,1192.26,"Al",0
"ARD1A",12.4,1192.26,"Si",34
"ARD1A",12.4,1192.26,"P",8
"ARD1A",12.4,1192.26,"S",13
"ARD1A",12.4,1192.26,"Cl",15
"ARD1A",12.4,1192.26,"Ar",39
"ARD1A",12.4,1192.26,"K",50
"ARD1A",12.4,1192.26,"Ca",1671
"ARD1A",12.4,1192.26,"Sc",4
"ARD1A",12.4,1192.26,"Ti",913
"ARD1A",12.4,1192.26,"V",80
"ARD1A",12.4,1192.26,"Cr",11
"ARD1A",12.4,1192.26,"Mn",365
"ARD1A",12.4,1192.26,"Fe",26322
"ARD1A",12.4,1192.26,"Co",218
"ARD1A",12.4,1192.26,"Ni",0
"ARD1A",12.4,1192.26,"Cu",69
"ARD1A",12.4,1192.26,"Zn",151
"ARD1A",12.4,1192.26,"Ga",31
"ARD1A",12.4,1192.26,"Ge",27
"ARD1A",12.4,1192.26,"As",53
"ARD1A",12.4,1192.26,"Se",74
"ARD1A",12.4,1192.26,"Br",105
"ARD1A",12.4,1192.26,"Rb",13
"ARD1A",12.4,1192.26,"Sr",1426
"ARD1A",12.4,1192.26,"Zr",710
"ARD1A",12.4,1192.26,"Nb",6
"ARD1A",12.4,1192.26,"Mo",7
"ARD1A",12.4,1192.26,"In",21
"ARD1A",12.4,1192.26,"Sn",4
"ARD1A",12.4,1192.26,"Sb",0
"ARD1A",12.4,1192.26,"Te",0
"ARD1A",12.4,1192.26,"I",8
"ARD1A",12.4,1192.26,"Cs",7
"ARD1A",12.4,1192.26,"Ba",26
"ARD1A",12.4,1192.26,"La",0
"ARD1A",12.4,1192.26,"Ce",0
"ARD1A",12.4,1192.26,"Pr",0
"ARD1A",12.4,1192.26,"Nd",6
"ARD1A",12.4,1192.26,"Sm",29
"ARD1A",12.4,1192.26,"Eu",8
"ARD1A",12.4,1192.26,"Gd",42
"ARD1A",12.4,1192.26,"Tb",251
"ARD1A",12.4,1192.26,"Dy",11
"ARD1A",12.4,1192.26,"Ho",60
"ARD1A",12.4,1192.26,"Ta",29
"ARD1A",12.4,1192.26,"W",14
"ARD1A",12.4,1192.26,"Os",40
"ARD1A",12.4,1192.26,"Ir",56
"ARD1A",12.4,1192.26,"Pt",34
"ARD1A",12.4,1192.26,"Au",57
"ARD1A",12.4,1192.26,"Hg",44
"ARD1A",12.4,1192.26,"Pb",0
"ARD1A",12.4,1192.26,"Bi",83
"ARD1A",12.4,1192.26,"Th",0
"ARD1A",12.4,1192.26,"U",0
"ARD1A",12.4,1192.26,"Mo_inc",13202
