"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","S","Cl","Location","Location1","Location2","Reference"
"YAN","YAN 8A-II",133,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.82497281935,0.913384852932,9.00238939299,6.77026863721,0.123137697711,2.6412579096,5.93939718393,3.0044947032,0.55619546763,0.101683936818,0.048549207809,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",135,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.59126002685,0.909788849574,8.93888047311,6.73917670317,0.122363246782,2.6111065636,5.87507158266,3.0044947032,0.56449689252,0.100811113326,0.050551236997,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",137,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6613738646,0.8990008395,9.09765277281,6.74694968668,0.120814344924,2.6593487172,6.02516465229,2.95998367056,0.53959261785,0.099501878088,0.048549207809,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",139,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.7268134465,0.903795510644,9.12411482276,6.79358758774,0.121588795853,2.7015606016,6.06804838647,2.92289114336,0.53959261785,0.100811113326,0.053053773482,0.09,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",141,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.47907788645,0.8990008395,9.00768180298,6.80136057125,0.121588795853,2.6955303324,5.88936616072,2.90805413248,0.54789404274,0.099938289834,0.052553266185,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",143,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.95585198315,0.907990847895,9.29876435243,6.82467952178,0.123137697711,2.9367411004,6.0037227852,3.14544630656,0.52298976807,0.102120348564,0.041041598354,0.06,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",145,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.586585771,0.928368200257,8.92829565313,6.96459322496,0.124686599569,2.7015606016,5.70353664594,2.8932171216,0.57279831741,0.102993172056,0.054054788076,0.09,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",147,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.68474514385,0.924772196899,8.96534252306,6.93350129092,0.124686599569,2.7075908708,5.6463583337,2.95998367056,0.5810997423,0.102993172056,0.048549207809,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",149,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.7361619582,0.919977525755,8.9441728831,6.8402254888,0.123137697711,2.6352276404,5.66065291176,3.02675021952,0.5810997423,0.102120348564,0.045546164027,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",151,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.74083621405,0.919977525755,8.99180457301,6.79358758774,0.122363246782,2.653318448,5.87507158266,3.0415872304,0.56449689252,0.102120348564,0.046547178621,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",153,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6426768412,0.909788849574,9.04472867291,6.80913355476,0.121588795853,2.71362114,5.9322498949,2.94514665968,0.54789404274,0.100811113326,0.047548193215,0.03,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",155,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.43233532795,0.947546884833,8.77481576342,7.10450692814,0.126235501427,2.7618632936,5.51055984213,2.9303096488,0.61430544186,0.1091029365,0.0500507297,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
