depth	min	max	median	mean
268	5030.89	5346.68	5154.29	5159.95
269	5036.94	5355.49	5161.9	5167.55
270	5043.08	5366.25	5170.17	5175.14
271	5052.76	5371.96	5177.11	5182.91
272	5061.15	5378.55	5184.53	5190.67
273	5069.52	5387.78	5192.22	5198.44
274	5075.37	5398.65	5200.01	5206.2
275	5081.95	5409.94	5207.63	5213.97
276	5095.59	5415.5	5214.98	5221.78
277	5106.55	5420.32	5222.38	5229.59
278	5112.68	5425.78	5230.11	5237.4
279	5118.33	5433.65	5237.46	5245.2
280	5126.29	5441.67	5245.98	5253.01
281	5136.09	5452.83	5258.51	5264.64
282	5147.41	5467.54	5270.19	5276.27
283	5156.78	5480.9	5280.76	5287.89
284	5167.48	5495.52	5290.76	5299.52
285	5175.15	5514.73	5300.52	5311.15
286	5186.7	5527.85	5313.74	5323.94
287	5197.59	5544.94	5326.77	5336.73
288	5205.71	5561.59	5340.49	5349.52
289	5212.92	5580.86	5353.02	5362.31
290	5219.07	5603.58	5364.15	5375.11
291	5240.84	5626.96	5386.99	5397.5
292	5256.46	5660.69	5409.66	5419.89
293	5266.68	5700.93	5430.26	5442.28
294	5276.88	5745.78	5450.24	5464.67
295	5285.16	5790.05	5467.83	5487.07
296	5305.58	5815.9	5490.73	5509.82
297	5319.64	5848.99	5514.52	5532.58
298	5335.78	5885.63	5536.98	5555.34
299	5345.72	5932.1	5558.12	5578.1
300	5356.08	5982.89	5579.07	5600.85
301	5379.17	6005.16	5602.41	5623.64
302	5396.6	6030.32	5623.35	5646.42
303	5412.9	6064.22	5647.15	5669.2
304	5425.48	6101.09	5669.58	5691.99
305	5436.16	6146.02	5689.7	5714.77
306	5470.91	6178.36	5719.76	5745.56
307	5496.05	6221.48	5753.53	5776.35
308	5517.08	6258.99	5785.97	5807.14
309	5530.97	6310.78	5816.67	5837.92
310	5545.86	6370.64	5844.13	5868.71
311	5602.36	6435.61	5912.55	5935.1
312	5638.25	6506.47	5982.06	6001.48
313	5664.03	6589.09	6048.01	6067.87
314	5686.44	6702.46	6111.36	6134.25
315	5707.58	6846.15	6171.18	6200.64
316	5769.36	6890.42	6239.8	6266.6
317	5814.78	6951.29	6310.14	6332.57
318	5850.5	7024.99	6384.19	6398.54
319	5882.84	7107.03	6452.08	6464.5
320	5907.55	7243.78	6513.92	6530.47
321	5995.76	7280.9	6586.8	6600.57
322	6060.37	7322.75	6664	6670.68
323	6113.17	7388.36	6739.98	6740.78
324	6147.44	7464.89	6813.04	6810.88
325	6184.03	7560.03	6876.9	6880.98
326	6269.56	7598.94	6940.05	6943.96
327	6332.66	7634.42	7008.02	7006.94
328	6378.1	7687.08	7077.18	7069.91
329	6426.07	7761.41	7139.16	7132.89
330	6465.12	7863.11	7205.87	7195.87
331	6562.6	7894.99	7269.82	7259.41
332	6651.59	7927.92	7336.37	7322.95
333	6711.96	7961.18	7404.51	7386.49
334	6763.6	8012.44	7478.55	7450.03
335	6798.77	8071.58	7544.77	7513.57
336	6907.74	8096.64	7610.14	7581.33
337	7004.94	8118.94	7680.63	7649.09
338	7085.74	8146.79	7755.71	7716.86
339	7145.96	8190.19	7831.06	7784.62
340	7198.52	8252.82	7899.54	7852.38
341	7377.92	8266.69	7953.66	7919.55
342	7555.06	8283.97	8009.54	7986.71
343	7705.98	8302.38	8068.69	8053.88
344	7819.81	8327.55	8134.12	8121.05
345	7899.48	8378.71	8200.43	8188.22
346	8035.37	8394.26	8248.59	8244.03
347	8125.75	8424.04	8310.21	8299.84
348	8177.14	8529.04	8363.85	8355.65
349	8205.27	8679.43	8403.94	8411.46
350	8221.38	8840.05	8443.01	8467.27
351	8260.69	8901.84	8497.85	8518.29
352	8285.91	8987.16	8546.92	8569.3
353	8300.79	9075.6	8594.2	8620.32
354	8317.3	9193.37	8638.85	8671.34
355	8328.16	9321.93	8683.77	8722.36
356	8368.25	9380.17	8734.46	8771.64
357	8397.49	9454.19	8783.81	8820.92
358	8416.6	9539.47	8828.98	8870.21
359	8435.93	9620.18	8875.66	8919.49
360	8453.55	9741.22	8915.73	8968.77
