"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum","TSN_sum","TSN_pc_sum","TSN_pc_sum1"
"YAN 8A-I_200um",1.98,"Unit 8","YAN FW",1,255.67,27980.89453,1.3,0,0,0.0652926051076318,0,0.0168279910071216,0,0.109718501366433,0.530418276544473,2.02272451905602,0,1.96618246927209,0.10096794604273,0.0652926051076318,0.628020624385778,76.7760261708916,0.225495079495429,0,0.319058709495026,0.154817517265519,0,0.0309635034531038,0.0127892731654124,0,0.256458582948533,1.53403966020921,0.0289441445322492,0.506185969494218,0,0,0.0114430338848427,0.241649950862266,0.520994601580485,0.112410979927572,0.160202474387798,0.102314185323299,0.150105679783525,0.0289441445322492,0.0740431604313351,0.0955829889204507,9.65792059880723,3.49416405271873,19539,2.76401464072433,0.361792584332311,148562,7.60335738778853,100,98.5763519607975
"YAN 8A-I_200um",2,"Unit 8","YAN FW",1,258.82,28505.06836,1.44,0.00594907591020861,0.00528806747574099,0.0634568097088919,0.00594907591020861,0,0,0.0925411808254673,0.491790275243912,2.16149758070913,0,1.9764152190582,0.114354459162899,0.0548637000608128,0.594907591020861,77.3968165833796,0.104439332645885,0,0.278945559345337,0.129557653155654,0.116998492900769,0.00594907591020861,0,0,0.257793289442373,1.62079268131461,0.0112371433859496,0.413130271542265,0,0,0,0.170540176092647,0.496417334285186,0.0707279024880358,0.221437825546654,0.113032442293964,0.0898971470875968,0.0363554638957193,0.0429655482403955,0.0647788265778271,9.30832077417308,3.48285344120991,19351,2.67261339912697,0.374165601477063,151284,7.81789054829208,100,98.6687290129822
"YAN 8A-I_200um",2.02,"Unit 8","YAN FW",1,261.97,28465.16992,1.28,0,0.0164769619118548,0.0869983588945936,0,0.0316357668707613,0,0.107429791665294,0.493649778879171,2.40629551760728,0,2.06423378831717,0.113361497953561,0.0415219440178742,0.634692572844649,76.9421395005503,0.13511108767721,0,0.266926782972048,0.158837912830281,0.0738167893651097,0,0.0612942983121,0.0276812960119161,0.249131664107245,1.68262735043862,0.00527262781179355,0.39610616436099,0,0,0.0144997264824323,0.231995623718916,0.473218346108471,0.0757940247945323,0.129838459865416,0.0869983588945936,0.0724986324121613,0.137747401583106,0.0606352198356258,0.044158257923771,9.19348566833853,3.48388882664259,19235,2.63885735906167,0.378951896193276,151727,7.88806862490252,100,98.5038918584036
"YAN 8A-I_200um",2.04,"Unit 8","YAN FW",1,265.12,28419.4707,1.38,0.00991702753627979,0.0191729199034743,0.095203464348286,0.00727248685993851,0.0350401639615219,0.014544973719877,0.0780139499520677,0.516346567055634,2.40520974513239,0,2.0852203232951,0.119665465604443,0.0515685431886549,0.633367491983736,76.9898515751545,0.0965257346864566,0,0.271726554494066,0.14544973719877,0.00661135169085319,0,0.0522296783577402,0,0.35172390995339,1.56622921556312,0,0.437671481934482,0,0,0.0138838385507917,0.177845360483951,0.471389375557833,0.0905755181646888,0.137516115169746,0.140821791015173,0.117682060097187,0.0912366533337741,0.0528908135268256,0,9.29225480149417,3.42534131103104,19236,2.71279675738274,0.368623265741729,151255,7.86312123102516,100,98.7002082575783
"YAN 8A-I_200um",2.06,"Unit 8","YAN FW",1,268.27,28542.06445,1.39,0.00524380411769718,0.00917665720597007,0.0970103761773979,0,0.017697838897228,0,0.101598704780383,0.537489922063961,2.24565911340382,0,2.04901645899017,0.148137466324945,0.0603037473535176,0.639088626844344,77.2772858069887,0.1402717601484,0,0.298896834708739,0.130439627427717,0.0137649858089551,0,0.013109510294243,0,0.298241359194027,1.6675297094277,0.0648920759565026,0.545355628240507,0.00786570617654577,0,0.00983213272068222,0.214340493310872,0.484396405372277,0.0701358800741998,0.146826515295521,0.0511270901475475,0.138305333604263,0.0478497125739868,0.0262190205884859,0.0563708942652447,9.08423515839566,3.3022856431198,18897,2.7508932115919,0.363518291363013,152561,8.07329205694026,100,98.6857715930021
"YAN 8A-I_200um",2.08,"Unit 8","YAN FW",1,271.41,28565.4668,1.42,0.00591148535922126,0,0.0860449535619983,0,0.0229891097303049,0.00394099023948084,0.0899859438014792,0.51561288966541,2.22337532677377,0,2.0539127464761,0.145159807154211,0.0367825755684878,0.599687348107668,76.7409324382907,0.23251842412937,0,0.331700011822971,0.145816638860791,0.0453213877540297,0,0,0.0157639609579234,0.259448524099155,1.71236025905443,0.101808914519922,0.450586550713976,0,0,0,0.174717233950317,0.500505760414067,0.111004558412044,0.159610104698974,0.101808914519922,0.111004558412044,0.161580599818714,0,0.0788198047896168,9.33489221391695,3.446395964426,19459,2.70859538784067,0.369195046439628,152246,7.82393750963564,100,98.5378926211526
"YAN 8A-I_200um",2.1,"Unit 8","YAN FW",1,274.56,28789.55664,1.34,0.00971603274950772,0.00582961964970463,0.0816146750958649,0,0.0187843299823816,0,0.0945693854285418,0.547984247072236,2.21460773137113,0,2.03712819981345,0.119183335060628,0.0498756347808063,0.608223650119183,77.6174992227174,0.212457249455902,0,0.297310602134936,0.153513317442222,0.068012229246554,0,0.0142501813659447,0.0317390403150586,0.284355891802259,1.65107783189968,0,0.430744118561509,0,0,0.00259094206653539,0.197559332573324,0.475437869209245,0.0524665768473417,0.138615400559643,0.080966939579231,0.0660690226966525,0.0731941133796249,0.0518188413307078,0.00647735516633848,8.9691936988289,3.33713338169759,18999,2.68769409937888,0.372066151512963,154384,8.12590136322964,100,98.7187791480982
"YAN 8A-I_200um",2.12,"Unit 8","YAN FW",1,277.71,28558.46484,1.32,0.0071974926552859,0.0202838429376239,0.0837526418069632,0.013086350282338,0.0255183830505591,0,0.0870242293775478,0.565330332197002,1.98977956042949,0.0052345401129352,2.08400128246233,0.121048740111627,0.0739378790952097,0.608515288128717,77.460070273701,0.06543175141169,0,0.369035077961932,0.136098042936315,0.032715875705845,0,0,0.0078518101694028,0.321924216945515,1.62270743500991,0.0189752079093901,0.452787719768895,0.0111233977399873,0,0.0202838429376239,0.19629525423507,0.515602201124117,0.104690802258704,0.162270743500991,0.091604451976366,0.085061276835197,0.0830983242928463,0,0.0032715875705845,9.20101288351185,3.35337725984911,19187,2.74380487804878,0.364457402929882,152831,7.96534111638088,100,98.7044513220485
"YAN 8A-I_200um",2.14,"Unit 8","YAN FW",1,280.86,28893.94531,1.4,0,0,0.0856236037880397,0.00643786494646915,0.0309017517430519,0,0.0965679741970373,0.57812027219293,2.01827066071808,0,2.00539493082514,0.17317856706002,0.0894863227559212,0.659237370518441,77.8608262355872,0.141633028822321,0,0.315455382376989,0.163521769640317,0.0244638867965828,0,0.0238201003019359,0.0193135948394075,0.225969059621067,1.54058108169007,0.0592283575075162,0.451938119242135,0,0,0,0.229187992094302,0.445500254295665,0.068241368432573,0.122963220477561,0.061159716991457,0.108799917595329,0.0128757298929383,0,0,8.98854703826023,3.39275482678924,19232,2.64933586337761,0.377453086950294,155331,8.07669509151414,100,98.7652175032672
"YAN 8A-I_200um",2.16,"Unit 8","YAN FW",1,284.01,28745.05469,1.54,0,0,0.0886003091310056,0,0.0213416803016291,0,0.0931273322252905,0.548416511993378,2.0753167299372,0,2.00870481869272,0.121582905960796,0.0704922167538657,0.625375904596222,77.6960039320429,0.0905404618856991,0,0.28584917252485,0.18948825237507,0.0284555737355054,0.025868703395914,0,0,0.197248863393845,1.65171671182911,0.0342760319995861,0.423600018108092,0,0,0.0226351154714248,0.206949627167312,0.531601854786033,0.0918338970554948,0.190134969959968,0.0685520639991722,0.142924586262425,0.0763126750179464,0,0.0853667212065163,8.91306175506218,3.39462060312882,19031,2.62564297961516,0.380859091568713,154627,8.12500656823078,100,98.6347791782806
"YAN 8A-I_200um",2.18,"Unit 8","YAN FW",1,287.16,28493.06641,1.49,0,0.00852749790092359,0.0931465155331654,0.00852749790092359,0.0419815281276238,0.0190228799328296,0.096426322418136,0.568718513853904,2.10170025188917,0.0118073047858942,2.02692065491184,0.0957703610411419,0.0859309403862301,0.647433879093199,77.3102959697733,0.131848236775819,0,0.330604534005038,0.190228799328296,0.0295182619647355,0.0465732577665827,0,0.0400136439966415,0.274191855583543,1.56971557514694,0.0419815281276238,0.48213161209068,0,0,0.0721557514693535,0.212531486146096,0.481475650713686,0.0780594038623006,0.13053631402183,0.10823362720403,0.0623163308144416,0.0190228799328296,0,0,9.17952350965575,3.40312762384551,19182,2.69737856592136,0.370730312991282,152448,7.94745073506412,100,98.6310086062133
"YAN 8A-I_200um",2.2,"Unit 8","YAN FW",1,290.3,28566.9668,1.47,0.00980206366113612,0.0169902436793026,0.0980206366113612,0,0.0274457782511811,0.0124159473041058,0.0993275784328461,0.582242581471486,1.93819472126198,0,2.13488946539545,0.0954067529683916,0.078416509289089,0.595311999686334,76.8311888596279,0.0379013128230597,0,0.325428513549719,0.107169229361755,0.0679609747172105,0,0.0483568473949382,0.0529311437701351,0.297329264387796,1.61734050408746,0.0209110691437571,0.471152526645276,0,0,0.028752720072666,0.201269040508662,0.498598304896458,0.096060223879134,0.148991367649269,0.126119885773285,0.103248403897301,0.131347653059224,0.0594658528775591,0,9.42631788745924,3.61369413640552,19955,2.60849909584087,0.383362218370884,153029,7.66870458531696,100,98.4519274124512
"YAN 8A-I_200um",2.22,"Unit 8","YAN FW",1,293.45,28343.87891,1.4,0.0066360083082824,0,0.104848931270862,0,0.0185808232631907,0,0.0862681080076712,0.585959533621336,2.0020837066088,0,2.17727432594746,0.118784548718255,0.0491064614812898,0.612503566854466,76.6445687590001,0.17718142183114,0,0.326491608767494,0.190453438447705,0.0955585196392666,0,0.00929041163159536,0,0.252168315714731,1.67028329119468,0,0.431340540038356,0,0,0,0.182490228477766,0.539507475463359,0.085604507176843,0.218988274173319,0.0590604739437134,0.15461899358298,0.126747758688194,0,0.0756504947144194,9.50541830078371,3.49253117264903,19587,2.72164164924948,0.367425300195476,150693,7.69352121304947,100,98.6508995109262
"YAN 8A-I_200um",2.24,"Unit 8","YAN FW",1,296.6,28377.47266,1.48,0,0.0232968349585649,0.10649981695344,0.00599061470363098,0.0312843212300729,0,0.0832029819948747,0.633673910872966,1.96891536592671,0,2.04679335707392,0.0865311012746697,0.0851998535627517,0.610377075914401,76.4515592238826,0.187040303524478,0,0.349452524378474,0.195693413651945,0.0485905414850068,0.0173062202549339,0.00332811927979499,0,0.324824441707991,1.65274403434619,0.0532499084767198,0.467267946883216,0,0,0.0505874130528838,0.218324624754551,0.511864745232469,0.0998435783938496,0.173062202549339,0.0931873398342597,0.120477917928579,0.0832029819948747,0.0585748993243918,0.0459280460611708,9.51642426864579,3.5957000698905,19699,2.64661236579045,0.377841505210883,150235,7.62652926544495,100,98.5376243884581
"YAN 8A-I_200um",2.26,"Unit 8","YAN FW",1,299.75,28341.37891,1.57,0,0.00537464644903827,0.110852083011414,0,0.0288887246635807,0.00268732322451914,0.100774620919468,0.632864619374257,1.96107412309284,0,2.01347692597096,0.127647853164659,0.101446451725597,0.615397018414882,76.6377555476429,0.251264721492539,0,0.333899910646503,0.183409810073431,0.0214985857961531,0,0.0416535099800466,0,0.286199923411288,1.70645024756965,0,0.448782978494696,0.0114211237042063,0,0.0510591412658636,0.262685845196746,0.537464644903828,0.0846506815723528,0.129663345583048,0.0483718180413445,0.0947281436642996,0.0739013886742763,0.0241859090206722,0,9.46139324272575,3.6090750905292,19455,2.62155621742368,0.381452815451253,148847,7.65083526085839,100,98.5898271379336
