"depth","MSE","cps","validity","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo inc","Mo coh","filename","position","sample surface","revalidity","E-gain","E-offset","F-slope","F-offset","kcps","Fe a*2","S1","S2","S3","label","qc"
632,1.36,58371,TRUE,11,0,49,9,43,0,22,92,1700,0,549,19,0,345,18176,137,0,296,377,0,59,84,296,0,3268,0,1041,0,0,0,30,21,49,17,52,29,36,0,0,25190,6374,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000273.spe",546.04,7.93,1,0.018309,-0.003173,0.009939,0.093737,18110.5918,0,73,4,2.53e+14,"S1",TRUE
632,1.39,36199,TRUE,0,0,0,0,0,6,83,21,590,0,260,0,0,130,9287,165,0,84,98,62,42,20,100,31,2606,62,784,0,0,0,0,0,0,35,25,6,10,104,55,16397,5136,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000016.spe",32.04,7.89,1,0.018306,-0.003173,0.009933,0.093737,11695.71289,0,0,11,1.1e+15,"S2",TRUE
634,1.38,57798,TRUE,0,0,30,14,34,6,56,72,1813,5,591,18,31,311,18663,183,0,351,362,20,91,78,207,65,3365,0,861,0,0,0,0,9,21,53,68,114,46,51,0,23909,6300,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000274.spe",548.04,7.93,1,0.018309,-0.003173,0.009939,0.093737,17448.12305,0,37,0,0,"S1",TRUE
634,1.33,32394,TRUE,0,8,0,4,12,0,96,14,402,5,165,0,20,102,6533,68,0,86,86,25,0,14,134,32,2722,171,876,5,0,16,0,0,10,48,52,0,93,19,0,15845,4688,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000017.spe",34.04,7.88,1,0.018306,-0.003173,0.009933,0.093737,10724.76074,43,36,8,0,"S2",FALSE
636,1.33,39504,TRUE,8,15,4,9,24,8,62,41,1011,0,322,5,16,196,10013,155,0,199,196,31,0,143,155,102,2366,0,785,6,0,0,0,0,12,47,83,51,139,6,13,18485,4737,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000275.spe",550.04,7.89,1,0.018309,-0.003173,0.009939,0.093737,12832.05566,59,0,0,0,"S1",TRUE
636,1.43,24299,FALSE,NA,NA,NA,NA,18,NA,78,NA,195,NA,79,NA,12,45,2972,55,NA,41,65,60,51,16,43,48,2252,31,783,NA,NA,NA,NA,13,NA,25,9,NA,4,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000018.spe",36.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S2",FALSE
638,1.26,53626,TRUE,41,13,41,16,38,0,49,69,1425,0,431,20,0,272,16359,234,0,314,321,57,147,47,270,0,2973,0,772,0,0,0,0,27,35,45,133,29,0,16,0,23511,5921,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000276.spe",552.04,7.83,1,0.018309,-0.003173,0.009939,0.093737,16767.55859,0,0,23,4.18e+14,"S1",FALSE
638,1.32,41403,TRUE,0,0,24,0,21,4,52,42,1196,0,392,39,10,231,12325,230,11,195,184,4,26,69,201,68,3016,0,818,12,0,0,0,33,21,64,66,5,47,0,0,16841,5064,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000019.spe",38.04,7.87,1,0.018306,-0.003173,0.009933,0.093737,12621.86621,92,0,0,0,"S2",TRUE
640,1.15,56476,TRUE,14,18,18,20,20,8,47,69,1642,23,545,20,28,298,18048,132,0,417,377,9,0,87,211,79,3072,15,925,0,0,0,0,0,34,64,108,72,175,29,79,23536,6209,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000277.spe",554.04,7.83,1,0.018309,-0.003173,0.009939,0.093737,17340.13086,28,137,19,0,"S1",TRUE
640,1.44,53581,TRUE,14,9,57,31,23,0,50,92,1891,19,624,12,17,327,18831,170,0,240,341,23,0,102,276,38,3906,14,1039,0,0,6,0,11,14,26,54,0,54,0,10,19641,5534,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000020.spe",40.04,7.88,1,0.018306,-0.003173,0.009933,0.093737,15552.91992,85,57,0,2.48e+14,"S2",TRUE
642,1.43,57852,TRUE,0,13,16,20,32,0,34,65,1732,22,511,11,24,313,18112,232,0,300,375,56,0,162,301,79,3659,0,992,12,0,32,11,35,0,62,94,34,119,201,34,23815,6342,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000278.spe",556.04,7.83,1,0.018309,-0.003173,0.009939,0.093737,17321.02734,0,17,0,6.49e+14,"S1",TRUE
642,1.36,40687,TRUE,24,22,10,0,39,5,80,33,837,0,237,6,6,144,8486,45,0,199,257,13,59,89,207,0,3849,76,978,0,0,8,0,7,0,34,10,11,0,0,0,19202,5666,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000021.spe",42.04,7.92,1,0.018306,-0.003173,0.009933,0.093737,13289.33301,48,44,17,0,"S2",TRUE
644,1.29,57546,TRUE,6,27,18,16,24,0,45,62,1690,5,536,22,13,292,17324,180,10,449,388,0,78,64,299,126,3496,22,981,0,0,0,0,53,89,108,80,50,0,40,5,24642,6306,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000279.spe",558.04,7.84,1,0.018309,-0.003173,0.009939,0.093737,17759.30859,0,87,0,0,"S1",TRUE
644,1.44,31733,TRUE,0,0,0,0,29,5,58,0,81,0,19,9,7,32,1530,61,17,107,227,54,95,87,251,0,3680,84,1123,0,0,0,0,0,0,32,30,32,0,0,0,18832,5127,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000022.spe",44.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,11558.91797,124,0,0,7.95e+13,"S2",FALSE
646,1.35,50524,TRUE,0,13,5,0,34,9,46,59,1475,0,391,20,20,232,13230,105,0,316,340,36,0,85,264,4,3218,0,871,0,0,0,0,15,13,45,64,19,75,0,0,23607,5872,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000280.spe",560.04,7.86,1,0.018309,-0.003173,0.009939,0.093737,16148.88965,41,48,26,1.75e+14,"S1",TRUE
646,1.28,38419,TRUE,6,9,0,20,24,0,60,39,734,0,226,12,23,144,7347,91,8,272,376,16,207,70,205,0,3782,37,901,0,0,0,13,12,39,58,84,53,0,0,0,18661,4867,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000023.spe",46.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,12710.25977,23,23,0,1.52e+14,"S2",TRUE
648,1.16,40011,TRUE,0,0,12,0,42,0,83,21,605,14,196,32,0,131,6529,94,0,218,184,17,91,32,166,43,3072,0,778,0,0,0,0,0,45,23,99,20,0,0,0,21647,5647,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000281.spe",562.04,7.85,1,0.018309,-0.003173,0.009939,0.093737,14002.39453,170,28,12,6.92e+14,"S1",TRUE
648,1.32,46503,TRUE,5,20,45,16,34,0,44,61,1468,0,323,0,0,245,10674,171,0,461,533,16,0,20,376,87,4859,0,964,0,0,0,0,7,0,57,36,67,20,22,0,20407,5465,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000024.spe",48.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,14948.75,0,0,21,0,"S2",TRUE
650,1.21,43788,TRUE,5,23,24,15,43,0,53,24,883,21,285,0,10,167,8893,73,0,209,255,0,0,100,312,0,3975,0,958,0,0,16,7,0,36,51,50,30,42,40,8,21504,5676,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000282.spe",564.04,7.79,1,0.018309,-0.003173,0.009939,0.093737,14566.16895,0,48,5,0,"S1",TRUE
650,1.46,49859,TRUE,0,0,0,25,42,10,44,43,1812,0,261,24,8,308,10735,139,0,521,709,0,0,63,466,0,5396,25,934,0,0,5,0,16,50,93,49,15,47,38,97,22204,5659,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000025.spe",50.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,15688.11328,21,43,0,0,"S2",TRUE
652,1.18,33527,TRUE,7,18,22,7,33,0,63,27,532,0,80,9,7,116,3986,21,12,199,332,0,19,34,294,47,4418,0,872,0,0,0,6,0,38,53,63,16,17,44,0,17222,4913,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000283.spe",566.04,7.79,1,0.018309,-0.003173,0.009939,0.093737,11479.22266,0,28,6,0,"S1",TRUE
652,1.61,52980,TRUE,0,8,10,26,62,9,67,59,1492,11,215,4,14,265,13299,232,0,534,587,38,75,192,422,16,5407,18,1084,0,0,0,0,0,40,39,110,79,0,24,0,22657,5865,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000026.spe",52.04,7.95,1,0.018306,-0.003173,0.009933,0.093737,16070.19336,20,0,0,1.07e+15,"S2",TRUE
654,1.3,61843,TRUE,13,22,14,16,54,9,36,122,3072,0,504,22,8,398,19499,287,0,901,1232,0,72,71,391,51,6216,80,971,0,0,0,0,17,108,115,110,56,24,222,70,21243,5817,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000284.spe",568.04,7.76,1,0.018309,-0.003173,0.009939,0.093737,16956.94727,0,50,16,5.09e+14,"S1",TRUE
654,1.44,50499,TRUE,10,0,22,0,48,0,51,48,1707,0,251,9,28,327,10927,89,0,580,671,16,0,52,483,29,5600,0,1083,0,0,0,0,25,47,60,31,43,96,20,0,22385,5761,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000027.spe",54.04,7.95,1,0.018306,-0.003173,0.009933,0.093737,15901.2002,0,78,0,2.56e+14,"S2",TRUE
656,1.29,55238,TRUE,28,19,40,25,79,6,29,101,2618,16,419,27,19,383,19212,131,0,590,885,0,14,108,470,56,5778,0,718,9,0,0,0,0,50,69,92,22,58,22,0,18359,4776,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000285.spe",570.04,7.73,1,0.018309,-0.003173,0.009939,0.093737,14871.25391,10,104,0,0,"S1",TRUE
656,1.31,42177,TRUE,0,16,24,6,31,15,55,43,1283,0,145,0,30,216,5764,43,0,450,708,0,0,124,453,78,5265,0,849,0,0,7,0,44,55,82,87,33,124,0,0,20736,5411,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000028.spe",56.04,7.84,1,0.018306,-0.003173,0.009933,0.093737,14095.49316,0,53,0,0,"S2",TRUE
658,1.21,28410,FALSE,NA,NA,NA,7,30,NA,57,33,961,NA,128,NA,7,148,6308,53,NA,273,377,NA,NA,55,255,53,3594,41,484,NA,NA,NA,NA,NA,NA,62,40,37,130,67,61,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000286.spe",572.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
658,1.73,44780,TRUE,0,0,27,19,45,8,66,40,1553,0,189,19,0,252,8904,172,0,499,734,38,0,119,268,32,5011,0,943,7,6,0,0,0,0,69,90,28,78,0,0,20335,5229,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000029.spe",58.04,7.88,1,0.018306,-0.003173,0.009933,0.093737,14311.58008,0,0,0,0,"S2",FALSE
660,1.18,42753,TRUE,9,0,0,26,35,12,36,64,1952,0,268,0,0,294,13800,122,0,537,703,0,154,94,276,27,4283,0,586,0,0,0,0,0,33,29,44,75,0,72,0,14959,4257,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000287.spe",574.04,7.73,1,0.018309,-0.003173,0.009939,0.093737,12207.18555,6,82,0,0,"S1",TRUE
660,1.54,35926,TRUE,0,0,0,17,29,0,78,25,866,0,110,0,0,145,5305,95,0,346,417,0,72,36,314,65,4202,0,790,0,7,10,11,4,50,55,52,25,35,75,0,17991,4699,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000030.spe",60.04,7.9,1,0.018306,-0.003173,0.009933,0.093737,12153.78906,0,0,0,2.22e+14,"S2",TRUE
662,1.33,56606,TRUE,24,19,23,4,34,0,48,78,3500,9,370,0,15,544,15967,112,0,862,1324,27,9,234,554,131,6904,0,823,5,0,0,0,34,5,85,85,71,150,49,0,19200,5307,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000288.spe",576.04,7.73,1,0.018309,-0.003173,0.009939,0.093737,15825.20508,0,98,0,7.11e+14,"S1",TRUE
662,1.33,39537,TRUE,11,0,6,0,22,0,65,39,1208,0,117,25,0,166,7558,105,0,347,461,0,98,109,276,55,4442,35,761,0,0,0,0,19,25,39,65,57,0,26,0,18390,5010,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000031.spe",62.04,7.9,1,0.018306,-0.003173,0.009933,0.093737,12724.26172,0,15,31,9.37e+14,"S2",TRUE
664,1.36,54376,TRUE,8,10,8,29,68,0,51,94,2655,8,255,0,24,406,14610,133,0,665,990,36,239,112,456,46,6423,0,825,5,0,5,0,22,33,110,56,44,0,79,41,20405,5425,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000289.spe",578.04,7.75,1,0.018309,-0.003173,0.009939,0.093737,15685.31152,0,77,11,0,"S1",TRUE
664,1.48,46652,TRUE,0,0,0,0,34,0,66,49,1690,0,183,14,11,352,10431,115,0,528,539,0,50,80,425,54,4983,0,797,8,0,0,6,56,0,22,30,22,0,0,27,20756,5271,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000032.spe",64.04,7.9,1,0.018306,-0.003173,0.009933,0.093737,14671.46191,53,0,9,7.33e+14,"S2",TRUE
666,1.31,58880,TRUE,0,20,32,40,50,0,42,73,3005,13,272,0,17,439,15400,222,0,943,1119,5,69,116,475,112,7178,15,880,0,0,0,0,0,56,186,108,61,106,46,56,21814,5910,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000290.spe",580.04,7.75,1,0.018309,-0.003173,0.009939,0.093737,16915.64844,0,0,0,1.47e+14,"S1",TRUE
666,1.45,50214,TRUE,8,22,0,27,40,13,96,50,1785,0,163,6,7,345,10873,124,0,535,753,0,56,145,430,57,5068,0,852,18,0,0,6,0,55,79,98,90,12,97,0,22254,6050,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000033.spe",66.04,7.9,1,0.018306,-0.003173,0.009933,0.093737,15566.31934,0,45,12,0,"S2",TRUE
668,1.46,56626,TRUE,0,0,11,0,43,0,23,72,2939,0,281,14,0,406,13850,112,0,886,1259,10,121,125,467,29,6815,0,989,0,0,0,23,11,33,76,144,7,0,68,97,21714,5973,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000291.spe",582.04,7.74,1,0.018309,-0.003173,0.009939,0.093737,16658.46484,28,41,8,2.61e+14,"S1",TRUE
668,1.4,50023,TRUE,0,10,7,35,39,15,61,44,1405,11,118,0,15,230,9837,165,0,440,569,0,0,179,541,112,5249,55,864,0,0,0,0,0,58,39,54,64,151,61,60,23818,5681,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000034.spe",68.04,7.91,1,0.018306,-0.003173,0.009933,0.093737,15926.00098,36,19,5,1.37e+15,"S2",TRUE
670,1.52,63380,TRUE,0,0,14,34,52,0,47,64,3575,38,403,37,14,602,17047,75,0,1070,1369,0,20,213,638,24,7140,118,964,0,0,0,0,0,62,111,129,59,115,107,160,23019,6053,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000292.spe",584.04,7.72,1,0.018309,-0.003173,0.009939,0.093737,17971.39648,7,107,0,7.45e+14,"S1",TRUE
670,1.35,44296,TRUE,11,0,9,13,6,0,63,4,936,0,118,0,12,183,7478,122,0,334,458,15,48,148,350,39,4676,0,869,8,0,0,28,0,16,34,60,33,26,0,0,22407,5792,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000035.spe",70.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,14948.24902,0,16,0,0,"S2",TRUE
672,1.29,57431,TRUE,0,0,0,24,51,0,35,90,2792,10,290,13,8,472,15203,164,9,956,1067,44,0,125,531,19,6534,91,743,0,0,11,0,19,13,116,53,62,119,111,109,21886,5661,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000293.spe",586.04,7.71,1,0.018309,-0.003173,0.009939,0.093737,16882.45117,0,53,0,0,"S1",TRUE
672,1.47,46872,TRUE,0,6,6,23,48,0,72,37,1384,5,174,20,7,221,9315,154,15,537,622,0,0,121,398,0,5130,0,939,0,0,0,0,15,74,103,92,24,84,0,58,21682,5506,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000036.spe",72.04,7.92,1,0.018306,-0.003173,0.009933,0.093737,15188.83691,0,7,0,0,"S2",TRUE
674,1.6,64979,TRUE,23,8,18,52,60,18,27,104,3851,0,355,0,48,650,16574,216,0,1104,1353,29,75,192,711,39,7288,0,915,16,7,0,0,0,18,141,143,83,120,55,126,24209,6351,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000294.spe",588.04,7.69,1,0.018309,-0.003173,0.009939,0.093737,18788.55469,0,0,0,4.75e+14,"S1",TRUE
674,1.7,46763,TRUE,0,0,29,25,30,9,87,42,1686,0,193,0,0,239,9029,128,0,489,644,0,46,84,401,150,4757,17,774,0,0,7,0,0,40,100,75,31,19,0,0,21908,5724,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000037.spe",74.04,7.87,1,0.018306,-0.003173,0.009933,0.093737,14890.95313,0,52,0,0,"S2",TRUE
676,1.32,55245,TRUE,7,0,32,41,61,0,65,85,3259,0,296,0,5,516,13898,206,0,909,1051,0,133,170,433,11,5782,0,805,13,0,16,0,12,91,126,58,140,49,0,0,21272,5671,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000295.spe",590.04,7.65,1,0.018309,-0.003173,0.009939,0.093737,16492.9707,32,55,7,0,"S1",TRUE
676,1.33,40023,TRUE,23,12,0,18,24,10,69,42,798,0,192,22,0,142,7712,96,0,289,303,0,64,88,296,28,3583,42,943,6,0,0,41,0,24,48,48,32,0,0,0,19746,5231,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000038.spe",76.04,7.86,1,0.018306,-0.003173,0.009933,0.093737,13353.22754,51,29,0,5.85e+13,"S2",TRUE
678,1.34,55081,TRUE,0,0,18,33,34,16,56,92,2741,0,621,10,5,412,19352,216,0,568,649,0,32,36,263,52,4091,0,805,13,0,0,0,0,34,49,161,30,60,0,0,19301,5270,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000296.spe",592.04,7.55,1,0.018309,-0.003173,0.009939,0.093737,15572.71777,61,71,0,0,"S1",TRUE
678,1.3,35768,TRUE,0,0,0,14,35,0,80,24,426,0,97,9,0,66,4368,89,0,225,262,16,86,99,271,40,4048,0,845,0,0,0,0,0,0,10,27,23,20,0,0,19391,5197,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000039.spe",78.04,7.89,1,0.018306,-0.003173,0.009933,0.093737,12607.86719,0,0,14,0,"S2",FALSE
680,1.49,30526,FALSE,NA,NA,NA,NA,NA,6,70,10,371,NA,132,NA,14,84,5501,143,NA,86,116,25,45,61,84,NA,2143,6,885,NA,NA,NA,NA,6,31,NA,54,23,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000297.spe",594.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
680,1.43,38686,TRUE,0,0,0,0,27,11,69,22,573,0,75,17,13,127,5457,84,0,258,349,14,0,48,379,0,4267,43,885,0,6,0,0,29,26,77,61,0,112,23,0,20148,5472,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000040.spe",80.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,13101.84082,14,7,18,6.61e+14,"S2",FALSE
682,1.18,25848,FALSE,NA,8,8,9,NA,NA,76,NA,184,NA,70,NA,NA,26,2665,66,13,31,49,NA,NA,64,168,6,1929,132,887,NA,NA,NA,19,NA,19,48,39,33,62,NA,8,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000298.spe",596.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
682,1.53,39986,TRUE,0,0,0,17,0,0,67,26,612,14,102,10,23,117,6792,83,12,298,321,38,0,81,419,30,4592,0,887,0,0,0,0,0,0,39,30,0,34,0,29,20128,5185,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000041.spe",82.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,13384.42773,0,0,0,4.11e+14,"S2",FALSE
684,1.32,41884,TRUE,0,0,18,21,11,12,39,60,1023,14,424,40,32,359,14232,113,0,76,181,0,50,60,225,0,2518,31,811,0,0,0,0,15,37,0,23,0,0,63,48,16282,5060,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000299.spe",598.04,7.57,1,0.018309,-0.003173,0.009939,0.093737,12591.56641,6,76,0,0,"S1",FALSE
684,1.31,33811,TRUE,6,14,29,36,34,5,63,12,681,0,65,0,0,113,4808,87,16,250,309,0,98,52,251,158,3786,6,798,0,0,13,0,12,41,42,50,8,0,0,0,17296,4580,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000042.spe",84.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,11352.42871,92,0,0,1.79e+15,"S2",FALSE
686,1.23,44059,TRUE,5,0,34,18,18,0,69,52,1278,0,492,20,30,394,15432,164,0,87,198,18,0,55,200,72,2408,160,791,9,8,14,0,33,40,88,126,63,152,163,0,16319,5049,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000300.spe",600.04,7.57,1,0.018309,-0.003173,0.009939,0.093737,12691.3623,0,70,0,1.15e+15,"S1",FALSE
686,1.31,44483,TRUE,7,0,10,8,45,0,41,20,1306,0,161,15,10,240,8073,128,0,420,705,37,97,205,332,0,4672,72,1043,0,0,0,0,0,0,7,59,15,0,0,105,20869,5621,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000043.spe",86.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,14221.58594,160,0,0,6.94e+14,"S2",FALSE
688,1.24,44593,TRUE,0,20,18,16,27,0,53,53,1339,0,480,37,0,256,15952,154,0,112,188,60,107,23,93,41,2837,0,856,13,0,7,0,22,0,46,26,0,0,10,0,16714,5033,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000301.spe",602.04,7.56,1,0.018309,-0.003173,0.009939,0.093737,13155.33887,0,0,0,0,"S1",FALSE
688,1.36,52405,TRUE,0,0,0,0,37,0,55,38,2247,5,286,21,0,367,12512,179,0,641,822,20,78,123,428,76,5474,0,958,0,0,0,0,0,42,49,78,27,0,32,0,22072,5677,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000044.spe",88.04,7.93,1,0.018306,-0.003173,0.009933,0.093737,15949.89941,61,20,15,0,"S2",FALSE
690,1.35,60645,TRUE,18,5,56,5,42,16,51,101,2489,16,795,25,24,412,25206,209,0,218,400,0,8,74,226,189,4450,50,819,0,0,0,61,5,9,81,53,83,58,103,38,18762,5488,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000302.spe",604.04,7.55,1,0.018309,-0.003173,0.009939,0.093737,15964.29688,0,28,21,4.55e+14,"S1",FALSE
690,1.45,54110,TRUE,8,19,11,18,41,10,71,48,2212,0,302,16,0,378,15977,112,0,578,728,0,75,109,357,31,4949,60,949,20,0,0,0,14,27,63,88,63,18,0,83,20811,5741,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000045.spe",90.04,7.97,1,0.018306,-0.003173,0.009933,0.093737,15720.61035,123,86,5,2.74e+14,"S2",FALSE
692,1.62,50272,TRUE,0,0,9,16,29,11,78,65,2162,0,358,0,0,405,14270,68,0,465,636,0,90,79,326,17,5054,0,1019,0,0,21,0,12,55,118,76,33,12,0,0,19320,5390,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000303.spe",606.04,7.55,1,0.018309,-0.003173,0.009939,0.093737,14846.55469,78,93,20,0,"S1",FALSE
692,1.3,53470,TRUE,18,7,14,15,47,0,54,69,2436,0,274,20,0,366,14567,183,12,654,768,47,124,120,472,0,5349,0,972,0,0,0,0,56,28,99,85,72,0,0,0,20908,5552,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000046.spe",92.04,7.99,1,0.018306,-0.003173,0.009933,0.093737,15631.5127,82,43,0,0,"S2",FALSE
694,1.32,58655,TRUE,11,16,13,15,48,0,38,50,2801,0,315,7,22,549,16930,239,0,824,1171,14,139,172,493,9,6257,56,825,6,0,0,0,21,55,89,113,53,25,0,10,21362,5799,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000304.spe",608.04,7.55,1,0.018309,-0.003173,0.009939,0.093737,16688.46289,108,51,20,0,"S1",FALSE
