"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"ARD","ARD1A",85,2852.61,3270.03,3104.12,3095.5,"Freshwater","Unit A10","ARD GZ 4","Guano",16.1261826825,0.61731390979,6.48849464774,4.84256872673,0.11616763935,1.1819327632,8.17649865032,1.99557796336,0.60600401697,3.29054456484,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",86.6,2872.54,3281.61,3116.71,3109.17,"Freshwater","Unit A10","ARD GZ 4","Guano",13.60675877935,0.41354038617,5.59407735943,4.1974110954,0.16263469509,0.8623284956,7.60471552792,1.40209752816,0.42337266939,3.87970042194,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",89.8,2904.22,3313.37,3144.63,3136.53,"Freshwater","Unit A10","ARD GZ 4","Guano",13.4057657778,0.37758035259,5.14422251028,4.04972440871,0.13940116722,0.75378365,7.69048299628,1.30565695744,0.40676981961,3.9058851267,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",92.9,2946.9,3337.82,3169.9,3162.91,"Freshwater","Unit A10","ARD GZ 4","Guano",12.32601267645,0.35360699687,4.90606406073,3.83985385394,0.12391214864,0.7115717656,7.60471552792,1.20179788128,0.39846839472,3.86660806956,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",96.1,2981.49,3365.09,3195.22,3190.52,"Freshwater","Unit A10","ARD GZ 4","Guano",9.4513453287,0.27569359078,4.04340123236,3.64552926619,0.13940116722,0.5366939588,8.39091732122,0.97924271808,0.36526269516,4.41212275206,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",99.3,3017.94,3394.09,3222.52,3218.87,"Freshwater","Unit A10","ARD GZ 4","Guano",12.74669570295,0.32963364115,4.85843237082,4.03417844169,0.12391214864,0.6693598812,7.16158360806,1.1498683432,0.38186554494,3.9713468886,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",102.4,3052.87,3418.63,3247.15,3245.57,"Freshwater","Unit A10","ARD GZ 4","Guano",13.4805538714,0.35360699687,5.01191226053,4.1196812603,0.10842313006,0.6995112272,7.06152156164,1.20179788128,0.39846839472,3.8840645394,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",105.6,3086.92,3448.56,3274.47,3273.04,"Freshwater","Unit A10","ARD GZ 4","Guano",12.62516505085,0.39556036938,5.03837431048,4.18963811189,0.12391214864,0.7779047268,8.13361491614,1.3353309792,0.44827694406,3.89715689178,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",108.7,3123.81,3477.87,3300.44,3300.23,"Freshwater","Unit A10","ARD GZ 4","Guano",14.6491178339,0.44350708082,5.63641663935,4.30623286454,0.1548901858,0.9166009184,8.22652967353,1.60239717504,0.59770259208,3.9058851267,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",111.9,3156.46,3506.08,3327.18,3327.59,"Freshwater","Unit A9","ARD GZ 4","Guano",17.1358219461,0.58734721514,6.62609730748,4.90475259481,0.13165665793,1.3507803008,7.81913419882,1.8175338328,0.43167409428,3.0767028093,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",115.1,3186.37,3535.98,3352.41,3354.52,"Freshwater","Unit A9","ARD GZ 4","Guano",17.85098309115,0.64728060444,7.00185841677,5.2078989517,0.12391214864,1.5075673,7.60471552792,2.040088996,0.4980854934,2.67083988552,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",118.2,3224.92,3556.76,3379.58,3382.23,"Freshwater","Unit A9","ARD GZ 4","Guano",18.46798486335,0.6592672823,7.08653697661,5.34003967137,0.12391214864,1.5558094536,7.24735107642,2.06234451232,0.44827694406,2.45699812998,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",121.4,3259.06,3587.26,3410.35,3413.9,"Freshwater","Unit A9","ARD GZ 4","Guano",19.4168588009,0.67724729909,7.12358384654,5.22344491872,0.12391214864,1.5919910688,6.49688572827,2.17362209392,0.53129119296,2.02495050144,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",124.5,3289.88,3622.32,3444.85,3448.39,"Freshwater","Unit A9","ARD GZ 4","Guano",20.44052083205,0.72519401053,7.7269185854,5.44886144051,0.12391214864,1.7367175296,6.70415711014,2.25522565376,0.47318121873,1.93330403478,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",127.7,3324.71,3658.79,3481.02,3483.94,"Freshwater","Unit A9","ARD GZ 4","Guano",20.54335446075,0.72519401053,7.70045653545,5.58877514369,0.12391214864,1.748778068,6.61838964178,2.35166622448,0.53129119296,1.85911403796,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",130.9,3354.95,3701.04,3515.55,3519.38,"Freshwater","Unit A9","ARD GZ 4","Guano",20.847181091,0.74916736625,7.67928689549,5.76755376442,0.12391214864,1.8151110292,6.63983150887,2.28489967552,0.45657836895,1.83729345066,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",131,3356.07,3701.99,3516.56,3520.48,"Freshwater","Unit A9","ARD GZ 4","Guano",19.10368365895,0.68324063802,7.28764855623,5.24676386925,0.13165665793,1.6522937608,7.01863782746,2.14394807216,0.45657836895,2.26497696174,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",133,3379.93,3721.95,3538.97,3542.48,"Freshwater","Unit A9","ARD GZ 4","Guano",19.80482203645,0.7192006716,7.32998783615,5.70536989634,0.12391214864,1.7125964528,6.68271524305,2.13652956672,0.45657836895,2.09041226334,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",134,3389.76,3733.76,3550.73,3553.48,"Freshwater","Unit A9","ARD GZ 4","Guano",19.1831460084,0.69522731588,7.22943204634,5.43331547349,0.13165665793,1.6945056452,6.65412608693,2.12169255584,0.44827694406,1.9202116824,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",135,3395.59,3751.38,3561.54,3564.48,"Freshwater","Unit A9","ARD GZ 4","Guano",20.12267143425,0.73118734946,7.54168423575,5.51104530859,0.12391214864,1.80908076,6.34679265864,2.21813312656,0.44827694406,1.76310345384,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",137,3420.74,3767.07,3582.54,3586.08,"Freshwater","Unit A9","ARD GZ 4","Guano",17.83228606775,0.66526062123,6.80074683715,5.69759691283,0.13940116722,1.6221424148,6.51832759536,2.0029964688,0.42337266939,1.9202116824,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",137.2,3422.43,3769.89,3584.8,3588.24,"Freshwater","Unit A9","ARD GZ 4","Guano",18.92606193665,0.70721399374,7.15533830648,5.9851973027,0.12391214864,1.7608386064,6.17525772192,2.13652956672,0.43997551917,1.59726699036,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",139,3439.61,3791.01,3604.64,3607.67,"Freshwater","Unit A9","ARD GZ 4","Guano",18.6315838181,0.70122065481,7.08653697661,5.81419166548,0.11616763935,1.688475376,6.38252910379,2.10685554496,0.44827694406,1.79365227606,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",140.4,3451.96,3808.86,3619.74,3622.92,"Freshwater","Unit A9","ARD GZ 4","Guano",17.6032475311,0.6592672823,6.75840755723,5.45663442402,0.13165665793,1.5437489152,6.53976946245,2.0029964688,0.47318121873,2.0293146189,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",141,3459.32,3815.25,3626.83,3629.59,"Freshwater","Unit A9","ARD GZ 4","Guano",17.6312930662,0.64728060444,6.64726694744,5.37890458892,0.12391214864,1.5015370308,6.73989355529,2.01783347968,0.56449689252,2.09041226334,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",143,3484.04,3834.14,3648.25,3651.83,"Freshwater","Unit A9","ARD GZ 4","Guano",17.39290601785,0.67724729909,6.68960622736,5.47995337455,0.13940116722,1.5558094536,7.04722698358,2.01783347968,0.43997551917,2.12532520302,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",143.5,3487.57,3840.76,3653.86,3657.39,"Freshwater","Unit A9","ARD GZ 4","Guano",16.1448797059,0.60532723193,6.1921196883,5.06021226501,0.13940116722,1.3447500316,7.14014174097,1.84720785456,0.43167409428,2.32171048872,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",145,3501.18,3864.02,3670.06,3674.08,"Freshwater","Unit A9","ARD GZ 4","Guano",17.0890793876,0.66526062123,6.44086295783,5.5965481272,0.13940116722,1.5256581076,7.30452938866,1.9659039416,0.4150712445,2.18642284746,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",146.7,3522.82,3887.44,3692.92,3696.02,"Freshwater","Unit A9","ARD GZ 4","Guano",20.61814255435,0.73118734946,7.41995880598,5.8297376325,0.13165665793,1.7548083372,6.83280831268,2.36650323536,0.75542966499,1.80238051098,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1C",147,3525.67,3891.03,3696.87,3699.89,"Freshwater","Unit A9","ARD GZ 4","Guano",17.60792178695,0.67724729909,6.58905043755,5.47995337455,0.12391214864,1.5739002612,6.91857578104,2.04750750144,0.42337266939,2.04677108874,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
